Barangay,Longitude,Latitude
Alicia,121.02300946967053,14.660309550861589
Amihan,121.06640018366905,14.63186565204424
Apolonio Samson,121.00587776990443,14.65467348821497
Aurora,121.00594434533839,14.616437108259282
Baesa,121.01026451705674,14.668135268649293
Bagbag,121.03862017219924,14.693373751005497
Bagong Lipunan Ng Crame,121.0485569848361,14.610696525153331
Bagong Pag-Asa,121.0321725014926,14.658808663683734
Bagong Silangan,121.10895485675043,14.70660523285348
Bagumbayan,121.0789991181364,14.606839680717274
Bagumbuhay,121.06313436111249,14.624885670288506
Bahay Toro,121.02745400069603,14.666056711461177
Balingasa,120.99882019325727,14.650766216089416
Balong Bato,121.00141212144163,14.666039382352306
Batasan Hills,121.09787682932544,14.682839503232424
Bayanihan,121.06745213178361,14.615414224230198
Blue Ridge A,121.07144483440302,14.618979059543499
Blue Ridge B,121.07363815422899,14.617907744188734
Botocan,121.06297335415606,14.637297100694614
Bungad,121.02251022041457,14.649252679868054
Camp Aguinaldo,121.0616537885223,14.607492773899832
Capri,121.03350477761737,14.711742413232203
Central,121.04923760788905,14.642228894612469
Claro,121.06254199631341,14.631172618708415
Commonwealth,121.08891117247134,14.703997896132416
Constitution Hills,121.08538980492841,14.693359069089267
Culiat,121.05398523702323,14.666349009035974
Damar,120.9975263350447,14.646202294613996
Damayan,121.01096186089815,14.637433462256514
Damayang Lagi,121.02035711830057,14.61607162682611
Del Monte,121.0125405122732,14.642995462091202
Dioquino Zobel,121.0627787656097,14.61939455701243
Don Manuel,121.00219313235026,14.61660150041556
Doña Imelda,121.01375259894117,14.614211096839215
Doña Josefa,121.0034780585999,14.62006563880656
Duyan-Duyan,121.06451204058136,14.63008547054633
E. Rodriguez,121.04985143462909,14.625982494277748
East Kamias,121.05338868153778,14.631626366929629
Escopa I,121.07109757070751,14.625450385281273
Escopa II,121.07223865862818,14.625757792952976
Escopa III,121.06960438626287,14.630465516805709
Escopa IV,121.07337839302849,14.631651981148224
Fairview,121.07141491038435,14.69996668810231
Gulod,121.04505804727653,14.707317743455414
Holy Spirit,121.07856853986921,14.682801484242214
Horseshoe,121.0397697694872,14.612754962567822
Immaculate Concepcion,121.04191787432731,14.622066567480093
Kaligayahan,121.05230991594395,14.729615806396941
Kalusugan,121.0188729820439,14.622831061720712
Kamuning,121.03729485071044,14.627424288091309
Katipunan,121.01500110697792,14.655379099727146
Kaunlaran,121.0416234174575,14.616821490839124
Kristong Hari,121.0286929037399,14.62459352702167
Krus Na Ligas,121.06074438504835,14.645751003655318
Laging Handa,121.02802489224675,14.632027384410982
Libis,121.07455867214101,14.615999344908008
Lourdes,120.99871025105318,14.62570588177229
Loyola Heights,121.07268510881708,14.639510728883485
Maharlika,120.99326433561275,14.633149400673933
Malaya,121.05388712405134,14.635255536971673
Mangga,121.05992067139785,14.625329561074215
Manresa,120.99736795778617,14.641067363051805
Mariana,121.03066046199892,14.61883986820684
Mariblo,121.01290632455388,14.634272295238008
Marilag,121.06791176876754,14.62527521162305
Masagana,121.0647364120194,14.618378979241395
Masambong,121.00570574193324,14.641627432242368
Matalahib,121.00440310922954,14.629506966464692
Matandang Balara,121.08337810463127,14.667243801739222
Milagrosa,121.06771821227342,14.620480369457296
n.a.,121.04570633119177,14.653912409818298
N.S. Amoranto,120.99009970483364,14.632056843854201
Nagkaisang Nayon,121.0314734834511,14.715348575323006
Nayong Kanluran,121.02231564925798,14.639559510021504
Novaliches Proper,121.04333559770602,14.715477678810863
Obrero,121.02711147713713,14.627893639030553
Old Capitol Site,121.05105196835423,14.649263844819586
Paang Bundok,120.98855502838884,14.627835041030238
Pag-Ibig Sa Nayon,120.9936913623309,14.64678328318498
Paligsahan,121.01999709290921,14.631950071325589
Paltok,121.02049062548616,14.64294582584693
Pansol,121.07856595108866,14.65043474615435
Paraiso,121.0147037026541,14.63743118200326
Pasong Putik Proper,121.09018958608901,14.729293785573262
Pasong Tamo,121.0595172580914,14.678863479181341
Payatas,121.10504605247662,14.715077498107322
Phil-Am,121.02897252281849,14.648567515775524
Pinagkaisahan,121.041848432642,14.625622082540264
Pinyahan,121.04492952566731,14.63948228240734
Project 6,121.03871102033916,14.658105046474185
